,Structure,Weir,Path_Full,Path_Base,StrucType,FlowIndex,HWIndex,TWIndex,AllIndex,Unnamed: 9,base_Max_Flow,base_Max_HW_WSE,base_Max HW WSE Timestep (99%),base_Max_TW_WSE,base_Start_Time,base_Time_Diff,full_Max_Flow,full_Max_HW_WSE,full_Max HW WSE Timestep (99%),full_Max_TW_WSE,full_Start_Time,full_Time_Diff
25,60173,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,6.1893435,462.43512,2023-04-01 02:05:00,462.37473,2023-04-01,0 days 02:05:00,271.2834,467.14038,2023-04-01 04:15:00,466.55225,2023-04-01,0 days 04:15:00
26,60176,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,6.8241158,452.54984,2023-04-01 03:00:00,452.1951,2023-04-01,0 days 03:00:00,178.14838,455.95975,2023-04-01 05:55:00,455.7949,2023-04-01,0 days 05:55:00
27,60177,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,0.0,438.19,2023-04-01 00:00:00,438.19,2023-04-01,0 days 00:00:00,78.31325,441.46594,2023-04-01 07:25:00,441.20343,2023-04-01,0 days 07:25:00
28,60178,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,9.189502,434.15048,2023-04-01 03:45:00,434.13464,2023-04-01,0 days 03:45:00,279.9049,437.66602,2023-04-01 16:00:00,437.4762,2023-04-01,0 days 16:00:00
29,60179,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,8.031261,414.80856,2023-04-01 04:05:00,412.5261,2023-04-01,0 days 04:05:00,272.5343,419.44016,2023-04-01 18:35:00,415.27017,2023-04-01,0 days 18:35:00
30,60181,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,23,,8.211023,0.0,2023-04-01 00:00:00,403.36597,2023-04-01,0 days 00:00:00,272.73218,0.0,2023-04-01 00:00:00,405.60672,2023-04-01,0 days 00:00:00
31,60182,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,culvert,0,2,3,23,,8.901411,379.60678,2023-04-01 04:45:00,378.0531,2023-04-01,0 days 04:45:00,278.6823,382.24554,2023-04-01 20:10:00,381.71844,2023-04-01,0 days 20:10:00
32,60184,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,23,,10.432494,0.0,2023-04-01 00:00:00,338.73843,2023-04-01,0 days 00:00:00,284.49963,0.0,2023-04-01 00:00:00,341.90887,2023-04-01,0 days 00:00:00
33,60185,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,11.312754,322.92416,2023-04-01 07:10:00,322.85812,2023-04-01,0 days 07:10:00,293.14996,326.82666,2023-04-01 22:05:00,326.70215,2023-04-01,0 days 22:05:00
34,60186,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,12.028084,306.07532,2023-04-01 07:45:00,306.04565,2023-04-01,0 days 07:45:00,288.4709,309.9017,2023-04-01 21:10:00,309.7784,2023-04-01,0 days 21:10:00
35,60187,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,13.4810295,276.4491,2023-04-01 10:20:00,276.42038,2023-04-01,0 days 10:20:00,285.49536,280.3185,2023-04-01 22:55:00,280.1833,2023-04-01,0 days 22:55:00
36,60188,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,12.008821,264.59586,2023-04-01 10:45:00,264.53436,2023-04-01,0 days 10:45:00,303.937,268.60385,2023-04-02 00:00:00,268.4997,2023-04-01,1 days 00:00:00
37,60189,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,12.127303,254.75366,2023-04-01 13:15:00,254.00523,2023-04-01,0 days 13:15:00,278.13312,260.7261,2023-04-01 05:35:00,260.92764,2023-04-01,0 days 05:35:00
38,60190,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Culvert,0,2,3,23,,22.655825,249.18352,2023-04-02 01:40:00,249.1551,2023-04-01,1 days 01:40:00,277.59238,254.00098,2023-04-02 00:40:00,253.90675,2023-04-01,1 days 00:40:00
39,60191,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,23,,32.16794,0.0,2023-04-01 00:00:00,248.2648,2023-04-01,0 days 00:00:00,316.6562,0.0,2023-04-01 00:00:00,253.44846,2023-04-01,0 days 00:00:00
40,60192,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Bridge,0,1,2,23,,320.67032,0.0,2023-04-01 00:00:00,247.41626,2023-04-01,0 days 00:00:00,689.0353,0.0,2023-04-01 00:00:00,249.04205,2023-04-01,0 days 00:00:00
41,60193,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,Bridge,0,1,2,12,,36.110172,247.52913,2023-04-02 04:50:00,248.64676,2023-04-01,1 days 04:50:00,277.07492,288.90225,2023-04-01 08:50:00,280.5706,2023-04-01,0 days 08:50:00
